id;text;emotion;lan;domain
2275;Hands down. You are good. I mean smart good.;joy;EN;funny_video
2283;Your are very good. keep it up;none;EN;funny_video
2292;Man!! I will never get used to these videos of yours!Please upload more like this.;surprise;EN;funny_video
2293;ডিসলাইক দেয়া 32;none;BN;funny_video
2298;ব্যাপক বিনোদন।;joy;BN;funny_video
2299;Osadharon chaliye jao;joy;RN;funny_video
2304;Shakil Ahmed otai to asol moza;none;RN;funny_video
2311;Man, you're brilliant!;surprise;EN;funny_video
2312;মন খারাপ থাকলেই ঢুকে পরি আপনার চ্যানেলে।;none;BN;funny_video
2382;Tumi koto study r research kore amder hasaccho. nice work buddy. thanks for sharing;joy;EN;funny_video
2387;Ore moja paisi;joy;RN;funny_video
2389;Joss;joy;EN;funny_video
2411;thanks a lot for your words bro;joy;EN;funny_video
2421;Taslima Akter কন্টেন্ট ক্রিয়েটর রা এক একটা প্রজেক্ট এ কত টাইম & এফোর্ট দিয়ে এক একটা কন্টেন্ট ক্রিয়েট করবে আর কিছু আবাল রা তা ফ্রি তে খায়া দিবে তা কি ঠিক।! ! !;disgust;BN;funny_video
2423;জাতি জানতে চায়।;none;BN;funny_video
2490;Dear Rahat Bro Next Video'r Jnno Aro Koto Din Wait Kora Lagbe?;sad;RN;funny_video
2499;your channel is the best source of entertainment <3;none;EN;funny_video
2509;zoteeeeel;joy;EN;funny_video
2518;good :D cant wait;joy;EN;funny_video
2543;ei video te 1m view howa uchit;none;RN;funny_video
2570;নতুন কোন ভিডিও কবে আসবে?;none;BN;funny_video
2588;Bro. just;none;EN;funny_video
2594;r o chai boss;joy;EN;funny_video
2598;hahahaha;joy;EN;funny_video
2605;hahahahihihihohoho;joy;RN;funny_video
2621;ভাই , আর কতো অপেক্ষা ?? পরের ভিডিওর;sad;BN;funny_video
2704;orreh buzz reh! x'D;joy;RN;funny_video
2716;Bro please , এত্তো গ্যাপ দিয়েন না, পর পর ছাড়েন;sad;RN;funny_video
2716;Bro please , এত্তো গ্যাপ দিয়েন না, পর পর ছাড়েন;sad;RN;funny_video
2774;eita best ! bro "gaaaaaaay" bole je cartoon tay oitar naam ki ?;joy;RN;funny_video
2776;Why don't its show in cineplax?? :D;surprise;EN;funny_video
2777;50 shades of :P;none;EN;funny_video
2816;over loaded !!!;surprise;EN;funny_video
2825;ha ah ha hah ah;joy;RN;funny_video
2830;Still better than the bengali movies nowadays;none;EN;funny_video
2846;great job.;joy;EN;funny_video
2852;Rahat bhai ek khan jinish;joy;RN;funny_video
2852;Rahat bhai ek khan jinish;surprise;RN;funny_video
2854;eita ki chilo! such a creative & hilarious video. Made my day;joy;EN;funny_video
2874;too much hats of creator;joy;EN;funny_video
