Data,Label
 Allah Uni to amr hall r apu ,0
 Amader ektai dabi amader desher moto niriho Islam prio manush jeno hoyranir shikar na hoy.... Mr. Erdogan e bepare shocheton asen bole mone kori..... ,0
 Aj ki kono mach asay ,0
 bjibike fair er wodar dey na ken. ,0
 amra tho bograi taki tahole dakay oto taka koros kore jabo ki kore ,0
 muslim hisabe amader uchit oder asroy deya... dut amra ki asolei muslim rasthe baskokri..?????????????????? ,0
 Train e cole aste bolenn ,0
 hahaha bolar kichu nai sob gayni vai der comment ai khane ,0
 movie na jene r kotha na bola e uchit.alia er hero onno 3 actor. ,0
 jr jr icha.......... r tara bujha e korcha ti nah ata neya amra matha gamanor ki dorkr... abr adr movie chara amra toh cholta pari nah tila kn ato base korbo ,0
 filmeto sobkicui hoi r atate age ki jai ase ,0
 hi sob ke. a deya amra ke korbo ,0
 amer je onk kisu churi holo ta ke uddar karbe ,0
 Hahhaha ki je bolen dada ,0
 dukhu kostu niye amader jibon... ma go apnk salam...duia kori allah apnr kosto dur kore den ,0
 Vi tomar kotha suna mona holo tumi tablik jamat ,0
 shakib bhai beyadop eta jodi keu proof dekhate paren tahole kotha hobe er aga noy. ojotha kuttar moto ghue ghue korbn na ,0
 kono proman ase shakib er bipokkhe je se kajta korse? ,0
 valobasar sob solution . mojar love story . sadness . etc ekhane pabe....so late na kore join ghe group..httpsm.facebook.comgroups115204638886101?view=info&refid=18&ref=bookmarks ,0
 @protik vai bujte parso to? ,0
 vai re sara din 247 india niye busy amader des niye kisu leken ,0
 1971 e india paki der attack korsilo paki ra india k attack korar por.... Bolod er moto kotha bolben na ,0
 Desh videse sudu manobotar kotha vola hoy... tahole akhon keno asohay manus der asroy dewa hocche na ? ,0
 oder aste dau ai prithibi karo babar na sob kisu allah talar sisty tara muslim ,0
 aita onek ta 1971 moto  ,0
 Sarda kelenkarir taka kothai ase ,0
 enake mirrakkel e niye jete hobe. hahahaha............... ,0
 Ki hobe Amar 1000    500 r note gulor  ,0
 Ke suri korlo tar porisoy keno Sironam holona? ,0
 Dekhi r ki ki khawash ,0
Era aber onno k gan dithe ashe r nijeder k bengali bole dabi kore . ,0
 @Syed .  apni 121 e call kore ei bepare sohojogita pete paren. ,0
 @Kazal .  dukkhito evabe dekhar bortomane kono option chalu nei .  tobe emergency balance dekhte dial korte hobe *566*28# ,0
 Khulna hobe amar mone hoi ,0
 Allah tumi Muslim vai der hefajot koro. ,0
 Ki ja korby ta jana acy ,0
 Bhai er modhe awami league government ki korlo ,0
 Bangladesh tajmahal ta chinte pare? ,0
 Eid ar age naki pore???? ,0
 Uni ki ekhon gache uthechen......... ,0
 Mate ki hal chas korben na ki ,0
 Mad a neme dan lagabi??? ,0
 Falu k neye namen na hoy ...... .? ,0
 BNP jodi aj khomotai thakto tobe ki emon kotha ta bolten......??? ,0
 abar toh dhukalo. obossho jodi silent thake toh onno kota... ,0
 Acca apnara anek khobor dekhan amar kace ekta imporarnt khobor ace jodi bolte sujog kore diten ,0
Ta na hole ai rokom post kore kire ?? ,0
 chor tar pori soi jana jabe ,0
 R desher bahire jara ache oder ki hobe ,0
 Seta to impossible kicho na or je power machine ase tate sera ten vitor thakar kotha ,0
 ami mona kori sobi ak hoa potibad korla valo hoba.sobi vola kicu akta koro k korba? ,0
 Vai add min kora potibad mane Ki ???,0
Ar unurod mane Ki ? ,0
 ata ki jacay krito kono news??ai manustar tar nam e vul kicu procar korle koma pabena..holod media ,0
Last k thke to be continue..... 430 hr por,0
 #dipto kon Ahmed er kotha bolchen? ,0
 ami ar ki bolbo somay asla bolbo ,0
 Hata noton kore ke koy. ,0
 konna rashi ta aj ki hoba ,0
 Rtv te ki kiranmala der performance live dekano hobe ajke plz....? ,0
 Aber gonnona kora hok vot ,0
 lalmatia mohila clg e ki apnara jaben na? ,0
 koronio ta bole hoyto upukar asbe ,0
 robi te 10 tk ai highest koto mb pawa jabe? ,0
 apnader office tke ki kina jbe ,0
 60 tk 1 gb offer oi sim?? ,0
Apnar ki SME sim ache naki notun kore kinte chaichen?,0
Apni ki ei shpongkrantio kono sms peyechilen? ,0
Bistarito information er jonno visit korte paren ,0
 asole ami jante caici 5 tk die kivabe 12 minutes kotha bole. ei doroner code. ,0
 ki offer ace seta to bollen na vai ,0
 6takay 1gb 30days er offer ti ami active korar por kochukhon mobile data e use hocchilo pore balance kete niye geche shob. Ai offer tir jonno ki kono time limitation ache ektu details jante chacchilam. Thank you ,0
 hello me robi user 19tk 6 gb kobe theke ami onk aage thekei use kori robi sim aj ekta mgs asce tai pls rply me ,0
 robi ta fnf korbo kivaba ,0
 1 poisa per second offer te nile ki amr robi sim ar special offer bondo hoye jabe ki??? ,0
 new sim a net connection khub slow. 3G net connection pawar jonno ki korte hobe? ,0
